rank,enterprise,revenue,profit,country
292,上海浦东发展银行股份有限公司（SHANGHAI PUDONG DEVELOPMENT BANK),50864.5,5184.5,中国
293,路易达孚集团（LOUIS DREYFUS),50624,1013,荷兰
294,蒙特利尔银行（BANK OF MONTREAL),50495,3237,加拿大
295,采埃孚（ZF FRIEDRICHSHAFEN),50406.6,-33.5,德国
296,KB金融集团（KB FINANCIAL GROUP),50228.4,3546.5,韩国
297,赛诺菲（SANOFI),50208.7,5837.7,法国
298,丸红株式会社（MARUBENI),50166.9,3261.7,日本
299,甲骨文公司（ORACLE),49954,8503,美国
300,金川集团股份有限公司（JINCHUAN GROUP),49900.7,1359.5,中国
301,瑞士再保险股份有限公司（SWISS RE),49800,3214,瑞士
302,安达保险公司（CHUBB),49735,9028,瑞士
303,Enterprise Products Partners公司（ENTERPRISE PRODUCTS PARTNERS),49715,5532,美国
304,第一资本金融公司（CAPITAL ONE FINANCIAL),49484,4887,美国
305,电装公司（DENSO),49435,2164.2,日本
306,HDFC银行（HDFC BANK),49299.1,7740.8,印度
307,中国建材集团有限公司（CHINA NATIONAL BUILDING MATERIAL GROUP),49088.8,198.2,中国
308,法国威立雅环境集团（VEOLIA ENVIRONNEMENT),49027.1,1013,法国
309,中国船舶集团有限公司（CHINA STATE SHIPBUILDING),48890.1,2408.4,中国
310,沃达丰集团（VODAFONE GROUP),48871.9,1236.2,英国
311,Plains GP Holdings公司（PLAINS GP HOLDINGS),48712,198,美国
312,德国巴登-符腾堡州银行（LANDESBANK BADEN-WÜRTTEMBERG),48566.6,1080,德国
313,EXOR集团（EXOR GROUP),48368.8,4534,荷兰
314,敬业集团有限公司（JINGYE GROUP),48120,248.9,中国
315,联合信贷集团（UNICREDIT GROUP),48044.4,10277.6,意大利
316,巴登-符腾堡州能源公司（ENERGIE BADEN-WÜRTTEMBERG),48032.2,1662.2,德国
317,东京电力公司（TOKYO ELECTRIC POWER),47868.9,1853.3,日本
318,住友商事（SUMITOMO),47812.9,2673.2,日本
319,World Kinect公司（WORLD KINECT),47710.6,52.9,美国
320,Orange公司（ORANGE),47698.5,2637.8,法国
321,HD现代公司（HD HYUNDAI),46959,202.5,韩国
322,英格卡集团（INGKA GROUP),46938,1596.7,荷兰
323,澳新银行集团（ANZ GROUP HOLDINGS),46827.7,4724,澳大利亚
324,美国国际集团（AMERICAN INTERNATIONAL GROUP),46802,3643,美国
325,软银集团（SOFTBANK GROUP),46748.8,-1575.1,日本
326,中国机械工业集团有限公司（SINOMACH),46482.2,181.6,中国
327,Talanx公司（TALANX),46155.8,1709.2,德国
328,美洲电信（AMÉRICA MÓVIL),46010.9,4291.5,墨西哥
329,阿斯利康（ASTRAZENECA),45811,5955,英国
330,浙江省交通投资集团有限公司（ZHEJIANG COMMUNICATIONS INVESTMENT GROUP),45772,763.6,中国
331,中国太平洋保险(集团)股份有限公司（CHINA PACIFIC INSURANCE (GROUP)),45759.9,3850.3,中国
332,可口可乐公司（COCA-COLA),45754,10714,美国
333,美国教师退休基金会（TIAA),45734.8,-1408.9,美国
334,巴西联邦储蓄银行（CAIXA ECONÔMICA FEDERAL),45706.8,2349.7,巴西
335,CHS公司（CHS),45590,1900.4,美国
336,中国华电集团有限公司（CHINA HUADIAN),45534.1,1909.5,中国
337,法国国民互助信贷银行集团（CRÉDIT MUTUEL GROUP),45489.9,4261.5,法国
338,MS&AD保险集团控股有限公司（MS&AD INSURANCE GROUP HOLDINGS),45478.4,2555,日本
339,现代摩比斯公司（HYUNDAI MOBIS),45368.7,2620.6,韩国
340,苏商建设集团有限公司（SUSUN CONSTRUCTION GROUP),45265.4,1142,中国
341,法国国营铁路集团（SNCF GROUP),45145,1416.2,法国
342,百时美施贵宝公司（BRISTOL-MYERS SQUIBB),45006,8025,美国
343,中国兵器装备集团公司（CHINA SOUTH INDUSTRIES GROUP),44790.2,1136.8,中国
344,德国大陆集团（CONTINENTAL),44778,1250.1,德国
345,Raízen公司（RAÍZEN),44694.1,105.6,巴西
346,陶氏公司（DOW),44622,589,美国
347,乔治威斯顿公司（GEORGE WESTON),44559.6,1141.3,加拿大
348,欧莱雅（L'ORÉAL),44520.7,6685.3,法国
349,Fomento Económico Mexicano公司（FOMENTO ECONÓMICO MEXICANO),44167.9,3703.9,墨西哥
350,西班牙电话公司（TELEFÓNICA),43947.2,-964.3,西班牙
351,中国民生银行股份有限公司（CHINA MINSHENG BANKING),43553.6,5060.3,中国
352,百思买（BEST BUY),43452,1241,美国
353,伍尔沃斯集团（WOOLWORTHS GROUP),43256.8,1088.6,澳大利亚
354,上海建工集团股份有限公司（SHANGHAI CONSTRUCTION GROUP),43031.1,220.1,中国
355,LG化学公司（LG CHEM),42921.6,1024.3,韩国
356,赛默飞世尔科技公司（THERMO FISHER SCIENTIFIC),42857,5995,美国
357,麦格纳国际（MAGNA INTERNATIONAL),42797,1213,加拿大
358,奥地利石油天然气集团（OMV GROUP),42661.8,1677.8,奥地利
359,万通互惠理财公司（MASSACHUSETTS MUTUAL LIFE INSURANCE),42641.4,-771.6,美国
360,联合服务汽车协会（UNITED SERVICES AUTOMOBILE ASSN.),42493.4,1213.5,美国
361,广州市建筑集团有限公司（GUANGZHOU MUNICIPAL CONSTRUCTION GROUP),42403.2,152,中国
362,通用动力（GENERAL DYNAMICS),42272,3315,美国
363,巴西淡水河谷公司（VALE),41784,7983,巴西
364,紫金矿业集团股份有限公司（ZIJIN MINING GROUP),41445.6,2983.3,中国
365,Travelers公司（TRAVELERS),41364,2991,美国
366,华纳兄弟探索公司（WARNER BROS. DISCOVERY),41321,-3126,美国
367,加拿大帝国商业银行（CANADIAN IMPERIAL BANK OF COMMERCE),41169.8,3704.2,加拿大
368,利安德巴塞尔工业公司（LYONDELLBASELL INDUSTRIES),41107,2114,荷兰
369,森宝利公司（J. SAINSBURY),41088.4,172.1,英国
370,深圳市投资控股有限公司（SHENZHEN INVESTMENT HOLDINGS),41025.2,1412.5,中国
371,鞍钢集团有限公司（ANSTEEL GROUP),40684.6,-83.1,中国
372,韩华集团（HANWHA),40683.2,291.3,韩国
373,美国合众银行（U.S. BANCORP),40624,5429,美国
374,汉莎集团（LUFTHANSA GROUP),40455.4,1808.6,德国
375,和硕（PEGATRON),40356.8,504.6,中国
376,雅培公司（ABBOTT LABORATORIES),40109,5723,美国
377,蒂森克虏伯（THYSSENKRUPP),40027.9,-2209.6,德国
378,新希望控股集团有限公司（NEW HOPE HOLDING GROUP),39988,-93,中国
379,日本KDDI电信公司（KDDI),39812.7,4413.5,日本
380,中国核工业集团有限公司（CHINA NATIONAL NUCLEAR),39632.9,1297.4,中国
381,泰康保险集团股份有限公司（TAIKANG INSURANCE GROUP),39411.6,1786.1,中国
382,美国诺斯洛普格拉曼公司（NORTHROP GRUMMAN),39290,2056,美国
383,江苏沙钢集团有限公司（JIANGSU SHAGANG GROUP),39241.3,227.7,中国
384,美团（MEITUAN),39092.5,1957.3,中国
385,奇瑞控股集团有限公司（CHERY HOLDING GROUP),39091.7,585.7,中国
386,Inditex公司（INDITEX),38903,5823.5,西班牙
